Gép;Pozíció;Cikkszám;Model;Msd;Msd szint;Idõ
1;111;CH_CPCAP02704A;SPS;Nem;Nincs;-
1;112;CH_CPCAP10104A;SPS;Nem;Nincs;-
1;113;CH_CPCAP10012A;SPS;Nem;Nincs;-
1;114;CH_CPCAP10014A;SPS;Nem;Nincs;-
1;115;CH_CPCAP10455A;SPS;Nem;Nincs;-
1;116;CH_CPCAP10850A;SPS;Nem;Nincs;-
1;117;CH_CPCAP10877A;SPS;Nem;Nincs;-
1;118;CH_CPRES05751A;SPS;Nem;Nincs;-
1;119;CH_CPRES15803A;SPS;Nem;Nincs;-
1;120;CH_CPRES15888A;SPS;Nem;Nincs;-
1;121;CH_CPRES15917A;SPS;Nem;Nincs;-
1;122;CH_CPRES16350A;SPS;Nem;Nincs;-
1;123;CH_CPRES16361A;SPS;Nem;Nincs;-
1;124;CH_CPRES16442A;SPS;Nem;Nincs;-
1;201;CH_CPDIO00585A;SPS;Nem;Nincs;-
1;202;CH_CPFER00040A;SPS;Nem;Nincs;-
1;203;CH_CPFER00086A;SPS;Nem;Nincs;-
1;204;CH_CPRES05748A;SPS;Nem;Nincs;-
1;205;CH_CPRES15574A;SPS;Nem;Nincs;-
1;206;CH_CPRES15789A;SPS;Nem;Nincs;-
1;207;CH_CPRES15835A;SPS;Nem;Nincs;-
1;208;CH_CPRES15850A;SPS;Nem;Nincs;-
1;209;CH_CPRES15953A;SPS;Nem;Nincs;-
1;210;CH_CPRES15964A;SPS;Nem;Nincs;-
1;211;CH_CPRES15993A;SPS;Nem;Nincs;-
1;212;CH_CPRES16024A;SPS;Nem;Nincs;-
1;213;CH_CPRES16031A;SPS;Nem;Nincs;-
1;214;CH_CPRES16063A;SPS;Nem;Nincs;-
1;215;CH_CPRES16077A;SPS;Nem;Nincs;-
1;216;CH_CPRES16087A;SPS;Nem;Nincs;-
1;217;CH_CPRES16284A;SPS;Nem;Nincs;-
1;218;CH_CPRES16349A;SPS;Nem;Nincs;-
1;219;CH_CPRES16356A;SPS;Nem;Nincs;-
1;220;CH_CPRES16366A;SPS;Nem;Nincs;-
1;221;CH_CPRES16368A;SPS;Nem;Nincs;-
1;222;CH_CPRES15874A;SPS;Nem;Nincs;-
1;223;CH_CPCAP02874A;SPS;Nem;Nincs;-
1;224;CH_CPCAP10557A;SPS;Nem;Nincs;-
1;225;CH_CPCAP11024A;SPS;Nem;Nincs;-
1;226;CH_CPCAP11028A;SPS;Nem;Nincs;-
1;227;CH_CPCAP11218A;SPS;Nem;Nincs;-
1;228;CH_CPICS03239A;SPS;Nem;Nincs;-
1;229;CH_CPIND01273A;SPS;Nem;Nincs;-
1;230;CH_CPIND01274A;SPS;Nem;Nincs;-
1;231;CH_CPRES14559A;SPS;Nem;Nincs;-
1;232;CH_CPRES15200A;SPS;Nem;Nincs;-
1;233;CH_CPRES15477A;SPS;Nem;Nincs;-
1;234;CH_CPRES15551A;SPS;Nem;Nincs;-
1;235;CH_CPCAP10061A;SPS;Nem;Nincs;-
1;236;CH_CPCAP12012A;SPS;Nem;Nincs;-
1;237;CH_CPRES12138A;SPS;Nem;Nincs;-
1;238;CH_CPRES12154A;SPS;Nem;Nincs;-
1;239;CH_CPCAP02857A;SPS;Nem;Nincs;-
1;240;CH_CPCAP04059A;SPS;Nem;Nincs;-
1;241;CH_CPCAP10009A;SPS;Nem;Nincs;-
1;242;CH_CPCAP10407A;SPS;Nem;Nincs;-
1;243;CH_CPCAP10417A;SPS;Nem;Nincs;-
1;244;CH_CPDIO00414A;SPS;Nem;Nincs;-
2;101;CH_CPRES12593A;SPS;Nem;Nincs;-
2;102;CH_CPRES05749A;SPS;Nem;Nincs;-
2;103;CH_CPRES05750A;SPS;Nem;Nincs;-
2;104;CH_CPRES05752A;SPS;Nem;Nincs;-
2;105;CH_CPRES05760A;SPS;Nem;Nincs;-
2;106;CH_CPRES05765A;SPS;Nem;Nincs;-
2;107;CH_CPRES15907A;SPS;Nem;Nincs;-
2;108;CH_CPRES15949A;SPS;Nem;Nincs;-
2;109;CH_CPRES15969A;SPS;Nem;Nincs;-
2;110;CH_CPRES15997A;SPS;Nem;Nincs;-
2;111;CH_CPRES16013A;SPS;Nem;Nincs;-
2;112;CH_CPRES16049A;SPS;Nem;Nincs;-
2;113;CH_CPRES16110A;SPS;Nem;Nincs;-
2;114;CH_CPRES16308A;SPS;Nem;Nincs;-
2;115;CH_CPRES16332A;SPS;Nem;Nincs;-
2;116;CH_CPRES16336A;SPS;Nem;Nincs;-
