Cikkszám;Alkatrész info;€;Oldal;Model;Beültetés db
CH_CPPCB00072E;PCB_SPS_MB_A_HW04;0;F2;CHSWPCB00116X_A9;
CH_CPCAP10537A;MCASU168SB7103KTNA01;0,0053;F2;CHSWPCB00116X_A9;2
CH_CPCAP10455A;MCASU105SB7103KFNA01;0,0011;F2;CHSWPCB00116X_A9;12
CH_CPCAP02201A;GCJ32EC71H106KA01L;0,5547;F2;CHSWPCB00116X_A9;4
CH_CPCAP02704A;GCJ21BR71H224KA01L;0,1052;F2;CHSWPCB00116X_A9;6
CH_CPCAP10445A;MCASU105SB7104KFNA01;0,0015;F2;CHSWPCB00116X_A9;8
CH_CPCAP10877A;MCASU105SCG102JFNA01;0,0017;F2;CHSWPCB00116X_A9;11
CH_CPCAP10555A;MCASL21GBB7106KTNA01;0,0267;F2;CHSWPCB00116X_A9;1
CH_CPCAP10417A;MCASE105SB7104KFNA01;0,0008;F2;CHSWPCB00116X_A9;2
CH_CPCAP03591A;GCJ31CC71H475KA01L;0,0443;F2;CHSWPCB00116X_A9;5
CH_CPCAP02853A;GCJ188R71H103KA01D;0,0653;F2;CHSWPCB00116X_A9;4
CH_CPCAP10566A;MCASE21GSB7225MTNA01;0,0101;F2;CHSWPCB00116X_A9;1
CH_CPCAP10463A;MCASU105SB7222KFNA01;0,0011;F2;CHSWPCB00116X_A9;1
CH_CPCAP10557A;MCASL21GSB7475KTNA01;0,0094;F2;CHSWPCB00116X_A9;1
CH_CPCAP10633A;MCAST31LAB7106MTNA01;0,0226;F2;CHSWPCB00116X_A9;1
CH_CPCAP10411A;MCASL105SB7104KFNA01;0,001;F2;CHSWPCB00116X_A9;3
CH_CPCAP02874A;GCJ188R71H104KA12D;0,0808;F2;CHSWPCB00116X_A9;1
CH_CPCAP10481A;MCASL168SB7105KTNA01;0,0035;F2;CHSWPCB00116X_A9;2
CH_CPCAP10407A;MCASJ105SB7104KFNA01;0,0013;F2;CHSWPCB00116X_A9;1
CH_CPCAP10104A;GRT1885C1H332JA02D;0,0049;F2;CHSWPCB00116X_A9;2
CH_CPCAP10012A;GRT155R71H473KE01D;0,0019;F2;CHSWPCB00116X_A9;3
CH_CPCAP10857A;MCASU105SCG220JFNA01;0,0069;F2;CHSWPCB00116X_A9;2
CH_CPCAP10014A;GRT155R71A474KE01D;0,0028;F2;CHSWPCB00116X_A9;2
